news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://nypost.com/2023/12/18/business/lawmakers-ask-doj-to-probe-apple-after-it-shut-down-imessage-app-on-android/,https://cdn.snapi.dev/images/v1/a/4/lawmakers-ask-doj-probe-apple-73907891jpgquality90stripall-2200768.jpg,"""Lawmakers ask DOJ for antitrust probe of Apple for shutting down iMessage on Android""","""A bipartisan group of four US senators and representatives asked the Department of Justice whether Apple violated antitrust laws for shutting down an application that enabled Android devices to text iPhone users via iMessage.""","""New York Post""","""Mon"," 18 Dec 2023 14:48:17 -0500""",,Negative,Article,AAPL
https://www.fool.com/investing/2023/12/18/why-costco-rallied-today/,https://cdn.snapi.dev/images/v1/q/y/cost6-2200770.jpg,"""Why Costco Rallied Today""","""A Wall Street analyst upgraded the stock today. Investors may be piling in ahead of the upcoming $15 special dividend.""","""The Motley Fool""","""Mon"," 18 Dec 2023 14:42:38 -0500""",,Positive,Article,COST
https://www.youtube.com/watch?v=KQ5ge3MjZls,https://cdn.snapi.dev/images/v1/b/a/ives-expect-apple-to-have-a-4-trillion-market-cap-next-year-2200755.jpg,"""Ives: Expect Apple to have a $4 trillion market cap next year""","""Dan Ives", Senior Equity Analyst at Wedbush Securities," joins Bloomberg Radio and reacts to Apple's new they will halt watch sales.""","""Bloomberg Markets and Finance""","""Mon"," 18 Dec 2023 14:32:10 -0500""",,Positive,Video,AAPL
