news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://www.fool.com/investing/2023/12/19/nvidia-is-investing-in-biotech-heres-what-it-means/,https://cdn.snapi.dev/images/v1/b/p/v72-2202047.jpg,"Nvidia Is Investing in Biotech Like Wild. Here's What It Means for the Stock.","Nvidia is forging collaborations and making investments in biotech. It's positioning to facilitate using artificial intelligence for drug discovery.","The Motley Fool","Tue, 19 Dec 2023 09:53:00 -0500",,Positive,Article,NVDA
https://www.zacks.com/stock/news/2199840/5-nasdaq-composite-laggards-likely-to-gather-pace-in-2024,https://cdn.snapi.dev/images/v1/x/9/35286-2202035.jpg,"5 Nasdaq Composite Laggards Likely to Gather Pace in 2024","We have narrowed our search to five Nasdaq Composite listed laggards of 2023 with strong potential for 2024. These are: PEP, KHC, WMG, PODD, BGNE.","Zacks Investment Research","Tue, 19 Dec 2023 09:47:33 -0500",,Neutral,Article,"BGNE,KHC,PEP,PODD,WMG"
https://www.zacks.com/stock/news/2199843/bitcoin-to-shine-in-2024-are-these-5-stocks-on-your-radar,https://cdn.snapi.dev/images/v1/l/2/4284-2202033.jpg,"Bitcoin to Shine in 2024: Are These 5 Stocks on Your Radar?","Stocks like NVIDIA Corporation (NVDA), Coinbase Global (COIN), Block (SQ), Interactive Brokers Group (IBKR) and PayPal Holdings (PYPL) are likely to benefit in the near term form the Bitcoin rally.","Zacks Investment Research","Tue, 19 Dec 2023 09:47:30 -0500",,Positive,Article,"COIN,IBKR,NVDA,PYPL,SQ"
