news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://www.youtube.com/watch?v=-CK-yj-ZTwA,https://cdn.snapi.dev/images/v1/h/b/could-apple-stock-drop-after-iphone-launch-event-2058541.jpg,"""Could Apple stock drop after iPhone launch event?""","""With Apple's (AAPL) iPhone 15 launch kicking off on Tuesday", the company's stock has historically proven to take a hit after its annual events. Yahoo Finance Markets Reporter Jared Blikre tracks Apple shares ahead of tomorrow," forecasting the positive boost the stock could receive in October.""","""Yahoo Finance""","""Mon"," 11 Sep 2023 17:30:01 -0400""",product,Negative,Video,AAPL
https://www.pymnts.com/credit-cards/2023/xbox-teams-with-mastercard-to-unveil-first-credit-card/?utm_source=snapi,https://cdn.snapi.dev/images/v1/x/b/xbox-credit-card-457x274-2058555.jpeg,"""Xbox Teams With Mastercard to Unveil First Credit Card""","""Microsoft-owned gaming platform Xbox is debuting its first co-branded credit card in the U.S. The Barclays-issued Mastercard", announced Monday (Sept. 11)," will be available on Sept. 21 exclusively to qualified Xbox Insiders across the country before becoming open to the general public in the U.S. starting next year.""",PYMNTS,"""Mon"," 11 Sep 2023 17:17:03 -0400""",,Positive,Article,"""MA","MSFT"""
https://seekingalpha.com/article/4634352-amazon-vs-ftc-this-one-scenario-should-scare-investors,https://cdn.snapi.dev/images/v1/h/b/image-1540430389-2058484.jpg,"""Amazon Vs. FTC: This One Scenario Should Scare Investors""","""The FTC is reportedly prepared to file a massive antitrust lawsuit against Amazon", potentially leading to the breakup of the conglomerate. However, there is just one scenario that should concern investors. How concerned should Amazon investors be," and is the stock still a buy?""","""Seeking Alpha""","""Mon"," 11 Sep 2023 17:00:00 -0400""",paylimitwall,Negative,Article,AMZN
