news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://www.barrons.com/articles/apple-stock-watch-import-ban-e39d8ac4,https://cdn.snapi.dev/images/v1/r/q/ukfgwhr2cjikthxy6loigseivq-2198968-2200525.jpg,"""Apple Stock Falls on Reports Watch Sales Will Be Halted""","""The ban will include the Apple Watch Series 9 and Apple Watch Ultra 2"," according to reports.""",Barrons,"""Mon"," 18 Dec 2023 11:48:00 -0500""","""earnings","paywall""",Negative,Article,AAPL
https://nypost.com/2023/12/18/business/apple-halting-us-sales-of-series-9-ultra-2-smartwatches-over-patent-dispute/,https://cdn.snapi.dev/images/v1/5/q/apple-itc-ruling-watchesjpgquality90stripall1702897150-2200505.jpg,"""Apple halting US sales of Series 9"," Ultra 2 smartwatches over blood-oxygen patent dispute""","""The move comes after an order in October from the US International Trade Commission that could bar Apple from importing its Apple Watches after finding the devices violate medical technology company Masimo's patent rights.""","""New York Post""","""Mon"," 18 Dec 2023 11:35:23 -0500""",,Negative,Article,AAPL
https://www.fool.com/investing/2023/12/18/potential-ai-stock-split-stocks-keep-eye-new-year/,https://cdn.snapi.dev/images/v1/u/r/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f7584902fartificial-intelligence-ai-robot-big-data-bull-market-stock-chart-gettyjpgopresizew400h400-2200564.jpg,"""2 Potential AI Stock-Split Stocks to Keep an Eye On in the New Year""","""Stock splits don't change the fundamentals of a stock"," but there's some evidence that they're correlated with strong returns. Broadcom has doubled this year and is seeing strong demand for generative AI products.""","""The Motley Fool""","""Mon"," 18 Dec 2023 11:31:40 -0500""",,Positive,Article,"""AVGO","NVDA"""
