news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://www.zacks.com/stock/news/2199863/these-4-retail-stocks-have-outshone-the-s-p-500-in-2023,https://cdn.snapi.dev/images/v1/h/r/344-2202025.jpg,"These 4 Retail Stocks Have Outshone the S&P 500 in 2023","The impressive performance of players such as AMZN, ANF, GPS and DECK highlights the ability to adapt and thrive in the dynamic market conditions.","Zacks Investment Research","Tue, 19 Dec 2023 09:47:19 -0500",,Positive,Article,"AMZN,ANF,DECK,GPS"
https://www.zacks.com/stock/news/2199870/nvidia-nvda-up-243-ytd-will-it-carry-momentum-in-2024,https://cdn.snapi.dev/images/v1/2/p/534-2202023.jpg,"NVIDIA (NVDA) Up 243% YTD: Will It Carry Momentum in 2024?","NVIDIA (NVDA) stock is likely to carry the upward momentum in 2024 on hopes that the company will be a prime beneficiary of growing investments in generative AI.","Zacks Investment Research","Tue, 19 Dec 2023 09:47:15 -0500",,Positive,Article,NVDA
https://www.zacks.com/stock/news/2199886/4-etf-areas-stocks-to-win-on-upbeat-november-retail-sales,https://cdn.snapi.dev/images/v1/v/g/1940-2202018.jpg,"4 ETF Areas & Stocks to Win on Upbeat November Retail Sales","Retail Sales in the United States increased 4.1% year-on-year in November 2023, marking the strongest annual growth since February, following a downwardly revised 2.2% gain in October.","Zacks Investment Research","Tue, 19 Dec 2023 09:47:07 -0500",,Positive,Article,"AMZN,BFIT,CARZ,EATZ,GPI,ONLN,PG,WING"
