news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://www.marketwatch.com/story/tesla-to-give-10-pay-raises-to-hourly-workers-at-its-nevada-gigafactory-report-33563a64,https://cdn.snapi.dev/images/v1/7/i/im-30482477size1777777777777778width800-2201235.jpg,"""Tesla to give 10% pay raises to hourly workers at its Nevada gigafactory: report""","""Tesla Inc. will give most hourly workers at its Nevada gigafactory roughly 10% raises starting in January"," CNBC reported late Monday.""","""Market Watch""","""Mon"," 18 Dec 2023 21:41:00 -0500""",paylimitwall,Positive,Article,TSLA
https://investorplace.com/2023/12/long-term-growth-3-high-potential-stocks-to-buy-and-hold/,https://cdn.snapi.dev/images/v1/6/y/growthstocks-1600-02-2201233.jpg,"""Long-term Growth: 3 High-Potential Stocks to Buy and Hold""","""Growth stocks outperformed in 2023 led by companies associated with artificial intelligence (AI). Heading into 2024"," it's highly probably that growth stocks will continue leading the way.""",InvestorPlace,"""Mon"," 18 Dec 2023 21:22:12 -0500""",StocksToWatch,Positive,Article,"""AI",AVGO,"INTC"""
https://www.youtube.com/watch?v=GCC_0SoyFiA,https://cdn.snapi.dev/images/v1/l/3/amazon-could-shake-up-regional-sports-network-costs-newsweeks-tom-rogers-2201231.jpg,"""Amazon could shake up regional sports network costs: Newsweek's Tom Rogers""","""Hosted by Brian Sullivan", “Last Call” is a fast-paced, entertaining business show that explores the intersection of money," culture and policy.""","""CNBC Television""","""Mon"," 18 Dec 2023 21:18:16 -0500""",,Positive,Video,AMZN
